Item Branch G/L Category,Item-Branch Key,Item Branch Reorder Quantity,Short Name
292,TFAB,CR-10629,0,10629
293,TFAB,CR-10629,0,10629
294,SRCW,CR-10821,0,10821
295,SRCW,CR-10821,0,10821
296,AFAB,CR-10974,0,10974
297,AFAB,CR-10974,0,10974
298,SRCW,CR-10350,0,10350
299,SRCW,CR-10350,0,10350
300,SRCW,CR-10486,0,10486
301,SRCW,CR-10486,0,10486
302,ATVW,CR-10538,0,10538
303,ATVW,CR-10538,0,10538
304,ATVW,CR-10595,0,10595
305,ATVW,CR-10595,0,10595
306,SHUB,PC-10009,0,10009
307,SHUB,PC-10009,0,10009
308,TFAB,CR-10005,0,10005
309,TFAB,CR-10005,0,10005
310,SRCW,CR-10555,0,10555
311,SRCW,CR-10555,0,10555
312,THUB,CR-10858,0,10858
313,THUB,CR-10858,0,10858
314,AXLE,CR-10665,0,10665
315,AXLE,CR-10665,0,10665
316,SRCW,CR-10822,0,10822
317,SRCW,CR-10822,0,10822
318,AFAB,CR-10975,0,10975
319,AFAB,CR-10975,0,10975
320,SRCW,CR-10487,0,10487
321,SRCW,CR-10487,0,10487
322,AFAB,CR-10708,110000,10708
323,AFAB,CR-10708,110000,10708
324,SHUB,PC-10010,0,10010
325,SHUB,PC-10010,0,10010
326,TFAB,CR-10006,0,10006
327,TFAB,CR-10006,0,10006
328,SRCW,CR-10304,0,10304
329,SRCW,CR-10304,0,10304
330,SRCW,CR-10556,0,10556
331,SRCW,CR-10556,0,10556
332,SRCW,CR-10079,0,10079
333,SRCW,CR-10079,0,10079
334,TFAB,CR-10505,0,10505
335,TFAB,CR-10505,0,10505
336,AXLE,CR-10666,0,10666
337,AXLE,CR-10666,0,10666
338,SRCW,CR-10823,0,10823
339,SRCW,CR-10823,0,10823
340,AFAB,CR-10976,0,10976
341,AFAB,CR-10976,0,10976
342,SRCW,CR-10488,0,10488
343,SRCW,CR-10488,0,10488
344,ATVW,CR-10539,0,10539
345,ATVW,CR-10539,0,10539
346,AFAB,CR-10709,0,10709
347,AFAB,CR-10709,0,10709
348,SHUB,PC-10011,0,10011
349,SHUB,PC-10011,0,10011
350,TFAB,CR-10007,0,10007
351,TFAB,CR-10007,0,10007
352,SRCW,CR-10557,0,10557
353,SRCW,CR-10557,0,10557
354,THUB,CR-10859,0,10859
355,THUB,CR-10859,0,10859
356,AXLE,CR-10667,0,10667
357,AXLE,CR-10667,0,10667
358,SRCW,CR-10824,0,10824
359,SRCW,CR-10824,0,10824
360,THUB,CR-10090,0,10090
361,THUB,CR-10090,0,10090
362,UTIW,CR-10918,0,10918
363,UTIW,CR-10918,0,10918
364,SRCW,CR-10317,0,10317
365,SRCW,CR-10317,0,10317
366,AFAB,CR-10583,0,10583
367,AFAB,CR-10583,0,10583
368,AXLE,CR-10668,0,10668
369,AXLE,CR-10668,0,10668
370,SRCW,CR-10825,0,10825
371,SRCW,CR-10825,0,10825
372,TFAB,CR-10883,0,10883
373,TFAB,CR-10883,0,10883
374,TFAB,CR-10977,0,10977
375,TFAB,CR-10977,0,10977
376,AXLE,CR-10354,0,10354
377,AXLE,CR-10354,0,10354
